customer_id,customer_name,city,last_booking_date,recency,frequency,monetary,gender,age,R_score,F_score,M_score,RFM_score,RFM_code,segment
CUST00001,Customer 1,Pondicherry,2026-08-01,151,5,12841.61,Male,19,4,4,5,13,445,Champions
CUST00002,Customer 2,Madurai,2026-11-15,45,5,10140.220000000001,Male,32,5,4,4,13,544,Champions
CUST00003,Customer 3,Pondicherry,2025-11-07,418,1,3004.53,Male,61,1,1,1,3,111,Lost Customers
CUST00004,Customer 4,Tirunelveli,2025-04-15,624,2,2665.54,Male,55,1,1,1,3,111,Lost Customers
CUST00005,Customer 5,Trichy,2026-10-12,79,3,4569.79,Male,23,5,2,2,9,522,Potential Loyalists
CUST00006,Customer 6,Chennai,2026-09-09,112,7,10184.5,Other,56,4,5,4,13,454,Champions
CUST00007,Customer 7,Hyderabad,2026-04-02,272,4,4721.51,Male,63,2,3,2,7,232,At Risk
CUST00008,Customer 8,Trichy,2026-11-05,55,7,9521.2,Other,44,5,5,4,14,554,Champions
CUST00009,Customer 9,Chennai,2026-07-04,179,4,5428.86,Other,35,3,3,3,9,333,Need Attention
CUST00010,Customer 10,Tirunelveli,2026-12-29,1,3,7443.18,Male,62,5,2,3,10,523,Potential Loyalists
CUST00011,Customer 11,Trichy,2026-03-18,287,6,10239.11,Female,27,2,5,4,11,254,At Risk
CUST00012,Customer 12,Coimbatore,2026-09-11,110,2,2276.35,Female,24,4,1,1,6,411,New Customers
CUST00013,Customer 13,Thanjavur,2026-04-27,247,3,1529.38,Male,40,2,2,1,5,221,Need Attention
CUST00014,Customer 14,Pondicherry,2026-03-06,299,5,8017.47,Female,20,2,4,4,10,244,At Risk
CUST00015,Customer 15,Tirunelveli,2025-11-18,407,1,823.55,Other,25,1,1,1,3,111,Lost Customers
CUST00016,Customer 16,Hyderabad,2026-08-03,149,2,3168.25,Other,36,4,1,1,6,411,New Customers
CUST00017,Customer 17,Trichy,2026-04-20,254,3,7377.75,Female,54,2,2,3,7,223,Need Attention
CUST00018,Customer 18,Hyderabad,2026-02-18,315,2,6536.77,Male,20,2,1,3,6,213,Need Attention
CUST00020,Customer 20,Salem,2026-09-08,113,5,9864.88,Male,42,4,4,4,12,444,Champions
CUST00021,Customer 21,Madurai,2026-01-04,360,1,1467.07,Other,41,2,1,1,4,211,Need Attention
CUST00023,Customer 23,Hyderabad,2026-06-06,207,5,10373.029999999999,Other,61,3,4,4,11,344,Loyal Customers
CUST00024,Customer 24,Madurai,2026-10-17,74,5,15503.630000000001,Other,58,5,4,5,14,545,Champions
CUST00025,Customer 25,Madurai,2026-09-08,113,2,8528.16,Other,33,4,1,4,9,414,Big Spenders
CUST00026,Customer 26,Hyderabad,2026-11-17,43,3,6645.96,Female,35,5,2,3,10,523,Potential Loyalists
CUST00027,Customer 27,Hyderabad,2026-11-16,44,3,2966.49,Other,32,5,2,1,8,521,New Customers
CUST00028,Customer 28,Chennai,2025-10-17,439,3,6935.919999999999,Male,32,1,2,3,6,123,Lost Customers
CUST00029,Customer 29,Salem,2026-01-31,333,4,7556.95,Female,43,2,3,3,8,233,At Risk
CUST00030,Customer 30,Pondicherry,2026-12-01,29,5,11312.24,Male,54,5,4,5,14,545,Champions
CUST00031,Customer 31,Erode,2026-10-15,76,4,10530.93,Male,59,5,3,4,12,534,Big Spenders
CUST00032,Customer 32,Madurai,2026-09-23,98,4,7610.32,Other,47,4,3,3,10,433,Potential Loyalists
CUST00033,Customer 33,Pondicherry,2025-09-12,474,2,4427.030000000001,Male,33,1,1,2,4,112,Lost Customers
CUST00034,Customer 34,Pondicherry,2025-04-03,636,1,5739.6,Other,34,1,1,3,5,113,Lost Customers
CUST00035,Customer 35,Tirunelveli,2026-02-20,313,6,7582.57,Female,55,2,5,3,10,253,At Risk
CUST00036,Customer 36,Vellore,2026-06-19,194,6,16944.25,Male,26,3,5,5,13,355,Loyal Customers
CUST00037,Customer 37,Coimbatore,2026-01-01,363,4,6235.21,Male,21,2,3,3,8,233,At Risk
CUST00038,Customer 38,Hyderabad,2025-12-03,392,3,6965.67,Other,28,1,2,3,6,123,Lost Customers
CUST00039,Customer 39,Tirunelveli,2026-08-23,129,4,11409.130000000001,Other,22,4,3,5,12,435,Big Spenders
CUST00040,Customer 40,Vellore,2026-10-05,86,2,2573.46,Other,47,5,1,1,7,511,New Customers
CUST00041,Customer 41,Hyderabad,2026-03-28,277,2,2547.34,Other,18,2,1,1,4,211,Need Attention
CUST00045,Customer 45,Pondicherry,2026-07-26,157,5,10101.18,Male,64,3,4,4,11,344,Loyal Customers
